15115-01,DRESSER,ASSET #7607 FLOORING,COVERING PIT AROUND GRINDER COOLANT TANK,3/2/2017
15102-01,U.S. SALT,CAP PRESS REBUILD,Tear down fix and reassemble all worn parts,3/10/2017
15124-01,CORNING,72124-30851-0 COMPLETE,D359.11.0 EQRR DELIVERY SYSTEM LAYOUT,3/20/2017
15170-02,DRESSER,VTL GUARD 2,VTL GUARD 2 HRS PAINTED GREY,3/22/2017
15156-01,WALK IN,ROLLER RAIL,1/4 hr steel 8 long bent on press brake  Hold inside dimension per supplied sample,3/22/2017
15166-01,WAGNER,BLASTING CABINET EXTENSION,3 x 3 x 3 1-3/4 fabricated box 14 ga hrs,3/27/2017
15203-01,DRESSER,WASH SAW HORSE,Shop 17 wash saw horse 24 sets,3/31/2017
15204-01,DRESSER,WASH SAW HORSE 48,Shop 17 wash saw horse 48 sets,3/31/2017
15194-01,HARDINGE,CQ 0000221UPRL,RAIL  MAIN DOOR,4/7/2017
15262-01,DRESSER,MLV HEAD STAND,DESIGN AND BUILD ROTATING HEAD STAND,5/5/2017
15058-01,DRESSER,DIP TANK,Dip Tank- Sandblast  Paint and add new heating element,5/12/2017
14955-01,CORNING,72124-30851-0 COMPLETE,D359.11.0 EQRR DELIVERY SYSTEM LAYOUT,5/13/2017
15295-01,DRESSER,ASSET 1613 PLATFORM,ASSET 1613 PLATFORM 42 X 25 X 5 TALL,5/17/2017
15179-01,FRONTIER,HTI OVEN,HTI OVEN ASSEMBLY,5/17/2017
15267-01,ARS,YELLOW FAN GUARD,Round Fan Gaurd  Painted Yellow,5/19/2017
15252-01,CORNING,SALT BATH ASM,Salt Bath Assembly,5/22/2017
15309-01,DRESSER,MLV HEAD STAND,DESIGN AND BUILD ROTATING HEAD STAND,5/26/2017
15288-01,DRESSER,ASSET 1613 PLATFORM,ASSET 1613 PLATFORM 42 X 25 X 5 TALL,5/30/2017
15255-01,FRONTIER,HTI PUMPCART MODIFICATIONS,HTI PUMPCART MODIFICATIONS- SUPPLY VESSEL MODS,5/30/2017
15245-01,CBRE,SHIPPING/RECEIVING CANOPY,BUILD AND INSTALL NEW CANOPIES TO REPLACE EXISTING DAMAGED CANOPIES,5/30/2017
15118-01,CBRE,FIRE HYDRANT RAILING REPAIR,REPAIR FIRE HYDRANT RAILING THAT WAS HIT BY A VEHICLE ACROSS FROM OLD CORNING LOADING DOCKS,5/30/2017
15293-01,KRAFT,50106803,CHEESE CUTTING BLADE/Knive Blade Guillotine  SS,6/8/2017
15296-01,CORNING,72124-24631-D,D316.14 EQRR MASTER ASSEMBLY TC18_FR17,6/9/2017
15303-01,TRIUS,STONE SHIELD STAINLESS,Stone shield in stainless,6/9/2017
15304-01,DRESSER,3 X 4 X 17 BRACKET,3/16 x 3 x 4 x 17 powder coated bracket,6/9/2017
15313-01,SCHLUMBERGER,LANDING GEAR TOP COVERS,,6/12/2017
15275-01,KENNEDY,449700P,Display Stand with Wheels,6/13/2017
15263-01,TOWN OF CORN,STEAMER,Steamer-build new per destroyed sample,6/16/2017
