'14955-01','0','10.25','10.25'
'15058-01','0','2','2'
'15058-01','0','3','3'
'15058-01','0','2.5','2.5'
'15102-01','0','77','77'
'15102-01','0','50','50'
'15102-01','0','0','0'
'15115-01','0','0.8333334','0.8333334'
'15115-01','0','0.5833334','0.5833334'
'15115-01','0','2.5','2.5'
'15115-01','0','2','2'
'15115-01','0','3','3'
'15118-01','0','16','16'
'15124-01','0','2.25','0'
'15194-01','0','0.5166667','0.5166667'
'15194-01','0','2.5','2.5'
'15194-01','0','1.75','1.75'
'15156-01','0','2.5','2.5'
'15166-01','0','0.8333334','0.8333334'
'15166-01','0','5','5'
'15203-01','0','7','7'
'15203-01','0','26','26'
'15203-01','0','4','4'
'15204-01','0','7','7'
'15204-01','0','26','26'
'15204-01','0','4','4'
'15179-01','0','44','44'
'15179-01','0','10','10'
'15179-01','0','480.5','480.5'
'15170-02','0','1.833333','1.833333'
'15170-02','0','2.333333','2.333333'
'15170-02','0','20.5','20.5'
'15170-02','0','2.5','2.5'
'15170-02','0','12','12'
'15196-01','0','24.16667','24.16667'
'15196-01','0','60.5','60.5'
'15196-01','0','12.5','12.5'
'15196-01','0','6.166667','6.166667'
'15262-01','0','0.5','0.5'
'15262-01','0','3.5','3.5'
'15262-01','0','0.75','0.75'
'15262-01','0','2','2'
'15263-01','0','29.5','29.5'
'15267-01','0','2','2'
'15267-01','0','3','3'
'15245-01','0','1','1'
'15245-01','0','10','10'
'15245-01','0','3.5','3.5'
'15245-01','0','8','8'
'15252-01','0','1.5','1.5'
'15252-01','0','0.6666667','0.6666667'
'15252-01','0','6.294117','6.294117'
'15275-01','0','5.166667','5.166667'
'15255-01','0','0.8333334','0.8333334'
'15255-01','0','0.3333333','0.3333333'
'15255-01','0','2','2'
'15255-01','0','4.5','4.5'
'15275-01','0','9.833333','9.833333'
'15275-01','0','21.08333','21.08333'
'15309-01','0','0.5','0.5'
'15309-01','0','24.5','24.5'
'15309-01','0','0.75','0.75'
'15309-01','0','2','2'
'15288-01','0','2.5','2.5'
'15288-01','0','32.5','32.5'
'15288-01','0','5.5','5.5'
'15293-01','0','1.133333','1.133333'
'15293-01','0','4','4'
'15295-01','0','2.5','2.5'
'15295-01','0','32.5','32.5'
'15295-01','0','5.5','5.5'
'15296-02','0','1.5','1.5'
'15296-03','0','0.75','0.75'
'15296-01','0','6.25','6.25'
'15296-11','0','1','1'
'15296-11','0','0.9907408','0.9907408'
'15296-14','0','0.3333333','0.3333333'
'15296-14','0','3.111111','3.111111'
'15296-14','0','1.5','1.5'
'15296-15','0','2.25','2.25'
'15296-15','0','6','6'
'15296-15','0','5.444445','5.444445'
'15296-16','0','2','2'
'15296-16','0','1.75','1.75'
'15296-18','0','1','1'
'15296-18','0','2.875','2.875'
'15296-18','0','1.333333','1.333333'
'15296-20','0','2.333333','2.333333'
'15296-20','0','8.5','8.5'
'15296-20','0','4.944445','4.944445'
'15296-26','0','1.333333','1.333333'
'15296-26','0','4.75','4.75'
'15296-26','0','2.166667','2.166667'
'15296-29','0','1','1'
'15296-29','0','2.875','2.875'
'15296-29','0','1.333333','1.333333'
'15296-40','0','0','0'
'15303-01','0','0.35','0.35'
'15304-01','0','0.6666667','0.6666667'
'15304-01','0','1','1'
'15304-01','0','0','0'
'15313-01','0','1.4','1.4'
'15313-01','0','4.5','4.5'
